actor/login,payload/issue/title,payload/issue/user/site_admin,payload/issue/created_at
laizhifei,tomcat 8.0.39,False,2016-12-31T12:04:34Z
Shadowlight213,Sentient EDs can smash down doors,False,2016-12-31T09:55:20Z
dt-bot,[chrome] Fixed type of Port disconnect listener,False,2017-01-01T00:10:02Z
Shadowlight213,Remove birdstation,False,2016-12-19T02:12:27Z
reporobot,Test,False,2017-01-01T00:10:28Z
k8s-merge-robot,ci-kubernetes-e2e-gci-gke-autoscaling: broken test run,False,2016-12-02T23:21:26Z
Daylien,Builtin official python support,False,2016-12-31T21:52:15Z
alexcrichton,rustbuild: save the save analysis,False,2016-12-31T06:32:44Z
bors,rustbuild: save the save analysis,False,2016-12-31T06:32:44Z
alexcrichton,rustbuild: save the save analysis,False,2016-12-31T06:32:44Z
bors,Gate on distcheck on Travis,False,2016-12-30T17:42:05Z
bors,rustbuild: save the save analysis,False,2016-12-31T06:32:44Z
patrickhlauke,v4: Remove tab-focus mixin,True,2016-12-31T20:28:17Z
dvc94ch,vendored dependendencies are incomplete in the beta and nightly tarballs,False,2016-12-29T21:13:30Z
k8s-merge-robot,ci-kubernetes-e2e-gce-1.4-1.5-upgrade-cluster: broken test run,False,2016-12-09T21:47:51Z
k8s-merge-robot,ci-kubernetes-e2e-gci-gce-reboot-release-1.5: broken test run,False,2016-12-02T19:25:23Z
k8s-merge-robot,ci-kubernetes-e2e-gke-serial: broken test run,False,2016-12-02T08:48:30Z
alexcrichton,Update Readme Instructions for 32-bit MinGW Builds,False,2016-12-31T16:57:26Z
alexcrichton,change of libcompiler_builtins/lib.rs code doesn't retrigger a full rebuild anymore,False,2016-12-31T16:57:43Z
lukaszkaiser,Loading Multiple models into the same session of tensorflow,False,2016-07-11T12:02:43Z
k8s-merge-robot,ci-kubernetes-e2e-gci-gke-reboot-release-1.5: broken test run,False,2016-12-02T09:27:58Z
k8s-merge-robot,ci-kubernetes-e2e-gke-gci-1.4-container_vm-1.5-upgrade-master: broken test run,False,2016-12-09T11:51:24Z
gatorsmile,[SPARK-19028] [SQL] Fixed non-thread-safe functions used in SessionCatalog,False,2016-12-29T18:29:07Z
mention-bot,update dpdk and related packages,False,2017-01-01T00:47:10Z
mdo,"Tooltip is ""Sticky"" when clicking on nav-links",False,2016-12-31T18:07:49Z
alexcrichton,UpperHex/LowerHex trait should be implemented for &[u8],False,2016-04-21T10:43:22Z
alexcrichton,"Allow rebuilding just stage1 libcore, libstd, etc",False,2016-04-20T16:28:00Z
alexcrichton,Can we get a decorate-sort-undecorate sorting in the standard libaries?,False,2016-04-20T09:54:30Z
quicksnap,Facebook Engineers - Thank You For 2016,False,2016-12-31T02:02:27Z
alexcrichton,Add UI testing to compiler test suite,False,2016-04-15T18:22:54Z
alexcrichton,"Android/ARM: opt-level = 3 produces ""LLVM ERROR: Constant Island pass failed to converge"" on GNU/Linux",False,2016-04-15T08:47:13Z
lenovouser,Update rt2800usb.c,False,2016-12-30T02:17:35Z
alexcrichton,`rustup toolchain list` should indicate the default toolchain,False,2016-04-06T23:56:26Z
vicb,@Direct(selector: 'input[type=date]') can't be inited,False,2016-12-31T18:41:43Z
jkotas,Type forwarding for ValueTuple to CoreCLR,False,2016-12-31T09:41:49Z
vicb,"""Live Example"" at URL https://angular.io/resources/live-examples/toh-6/ts/eplnkr.html not working in Firefox 50.1.0",False,2016-12-31T16:28:40Z
alexcrichton,"Duration overflows when created with Duration::new(u64::MAX, u32::MAX)",False,2016-03-05T22:50:49Z
filipesilva,"In Angular-Cli WebPack scripts, i want to reordered the bundled scripts",False,2016-12-27T00:09:49Z
filipesilva,Include the web-animations-polyfill plugin when creating a new project,False,2016-12-14T07:25:00Z
bardiharborow,Update copyright years to 2017,False,2016-12-31T15:24:03Z
SparkQA,[SPARK-18871][SQL] New test cases for IN/NOT IN subquery,False,2016-12-19T07:00:01Z
YurySolovyov,Optimize child_process IPC for large data,False,2016-12-31T16:58:36Z
andrewklau,RFE: Pass openshift requester to result PV,False,2016-12-17T00:11:34Z
k8s-merge-robot,ci-kubernetes-e2e-gke-gci-1.4-gci-1.5-upgrade-cluster: broken test run,False,2016-12-09T11:51:26Z
rust-highfive,travis: Start uploading artifacts on commits,False,2017-01-01T01:44:53Z
ilovezfs,osquery: vendor boost 1.62.0 and depend on openssl,False,2016-12-29T10:46:15Z
k8s-merge-robot,ci-kubernetes-e2e-gci-gke-reboot-release-1.5: broken test run,False,2016-12-02T09:27:58Z
gaearon,[Question] hostParent vs rootNodeID,False,2016-12-31T20:20:06Z
k8s-merge-robot,avoid repeated length calculation and some other code improvements,False,2016-12-13T09:45:17Z
k8s-merge-robot,ci-kubernetes-e2e-gci-gce-reboot-release-1.5: broken test run,False,2016-12-02T19:25:23Z
k8s-merge-robot,ci-kubernetes-e2e-gke-reboot-release-1.5: broken test run,False,2016-12-02T06:14:51Z
IamManchanda,Is Bootstrap V4 going to provide different & configurable Grid Gutter sizes?,False,2016-12-20T07:49:20Z
targos,url: make WHATWG URL implementation more spec compliant,False,2016-12-17T13:23:01Z
targos,url: fix URL query update if searchParams changes,False,2016-12-28T09:17:30Z
k8s-merge-robot,ci-kubernetes-e2e-gke-container_vm-1.3-gci-1.5-upgrade-cluster: broken test run,False,2016-12-09T11:49:59Z
sarkiroka,npm@4 is still too slow ,False,2016-12-31T22:09:12Z
odeke-em,"cmd/compile: Manually calling init should provide a better error message, currently says ""undefined: init""",False,2014-08-06T07:54:26Z
gibfahn,tools: update ESLint to current version,False,2017-01-01T06:03:06Z
yuvalbo,Bean validation does not use defined message-soure,False,2016-12-24T16:48:38Z
gopherbot,"cmd/compile: Manually calling init should provide a better error message, currently says ""undefined: init""",False,2014-08-06T07:54:26Z
gibfahn,url: fix URL query update if searchParams changes,False,2016-12-28T09:17:30Z
petrochenkov,"error message regression: ""no resolution found""",False,2017-01-01T02:57:19Z
jfenal,Add redhat_repositories to manage subscription-manager repos,False,2016-12-28T17:51:52Z
facebook-github-bot,Pass event obj to the method,False,2017-01-01T10:26:17Z
Mervill,[Meta][Map],False,2017-01-01T05:18:35Z
0x7CFE,Panic when compiling dft library v0.5.3,False,2017-01-01T10:01:37Z
pftbest,calling convention for MSP430 interrupts,False,2016-12-19T04:51:37Z
k8s-merge-robot,ci-kubernetes-e2e-gke-container_vm-1.3-container_vm-1.5-upgrade-master: broken test run,False,2016-12-29T05:23:35Z
k8s-merge-robot,ci-kubernetes-e2e-gke-serial: broken test run,False,2016-12-02T08:48:30Z
wKoza,Browser Memory isn't released when destroying components,False,2016-12-30T20:18:30Z
ls-amine,unregister_netdevice: waiting for lo to become free. Usage count = 3,False,2014-05-06T03:48:01Z
optimumtact,Papier-Mch Robe spelt wrong,False,2016-12-31T07:23:57Z
Mervill,Papier-Mch Robe spelt wrong,False,2016-12-31T07:23:57Z
Shadowlight213,Wrenching an emitter down doesn't change its state var,False,2017-01-01T07:34:35Z
patrickhlauke,v4: Rip out IE compatibility mode meta tags,True,2016-12-31T09:17:41Z
GuilhemN,[Yaml] parse omitted inlined mapping values as null,False,2017-01-01T10:38:09Z
Mervill,"You can buy raw TC and then redeem them infinitely, which is still logged for end round",False,2017-01-01T03:21:49Z
vcunat,nixos-17.03 (unstable): ${package}/etc does not appear in /etc,False,2016-12-31T22:17:15Z
